text,label
im not to keen on the pallbearer its not too bad but just very slow at the times as the movie goes on it gets a little more interesting but nothing brilliant i really like david schwimmer and i think hes good here im not a massive gwyneth paltrow fan but i dont mind her sometimes and shes okay here the pallbearer is not a highly recommended movie but if you like the leads then you might enjoy it,0
i enjoyed still crazy more than any film i have seen in years a successful band from the s decide to give it another try they start by playing some gigs in some seedy european venues with hilarious results the music is fantastic the script and acting are terrific the characters are spot on especially the lead singer with the high heavy metal voice makeup and personality problems the concert at the end was unreal go and see it preferably in a cinema with a good sound system,1
a fairly typical australian movie where the underdog saves the day inspite of himself i guess there is no real reason to see this pic if you have seen the castle or the dish it still leaves you with a positive feeling at the end and it as good or better than most hollywood stuff,1
wow what can i say about this film its a lousy piece of crap im surprised that it got rated as high as it did whats wrong with this film heres a better question whats not wrong with this filmthe story itself is just crap and clich heres pretty much what its aboutsome kinda nerdy kid with no friends gets picked on gets killed and comes back as a scarecrow for revenge all of that is packed into minutes of worthless film if you havent seen this movie dont waste your time watching it also the second one isnt much better so dont bother watching that eitheri rated this movie a three because i liked the scarecrows outfit not because there was anything good about the movie i think you get the picture,0
it is the best movie released in bollywood upto date the best comedy the best acting and the best direction till now rajkumar santoshis writing and direction proved that he is one of the best directors in the industry aamir khan was absolutely amazing salman khan looked good the way he acted shakti kapoor was good but jagdeep over acted as usual this comedy is still copied by people and no other writers and directors have been able to make this thing again even rajkumar santoshi hasnt been able to make this cult classic again this movie was a flop when it released but it has been a cult classic since it released and loved by all kinds of peoplestaracting dialogues screenplay direction music lyrics overall this movie is strongly recommended if you didnt watch it till now you missed something big it is a laugh riot and the best comedy i have seen till date classic films like hera pheri golmaal and jaane bhi do jaaro are not even half as funny as thisgreat movie hats off,1
any movie that offers bonnie hunt sarah silverman and amy sedaris in the supporting cast has to be well worth watching and comic actor jeff garlin takes advantage of the terrific talent he recruited for his directorial debut a sadsack comedy about an overweight man who feels out of step with the world around him familiar as larry davids manager jeff on curb your enthusiasm garlin plays james a stillstruggling year old chicago actor who still lives with his widowed mother his selfesteem is so low that he cant meet women but its the comical way he views his single status that makes his dilemma involving if the storyline sounds a bit familiar thats because the film is partially a tribute to the ernest borgnine classic marty about a lonely bronx butcher living with his meddlesome mother in fact garlin uses marty as the play which james is desperate to do since he is so empathetic to the characters situationnaturally there is a love story of sorts in this new millennium version and silverman plays beth an offkilter sexually voracious ice cream parlor server who takes him on an underwear shopping spree their best scene together is in his favorite convenience store where they improvise different characters in different aisles hunt plays a lonely elementary school teacher who shares a passion with james for jazz musician ben webster they meet accidentally in a record store and then again at a career day at her school where he hilariously exposes his sexual neuroses in front of a classroom of firstgraders including his best friend lucas pert daughter penelope played by dakota fannings lookalike baby sister elle in a wedgedin cameo and looking quite a bit like jerri blank sedaris plays the schools counselor who speaks to james after his inappropriate monologue david pasquesi plays luca a retirement home manager and his scenes with garlin have an easy rapport that makes their friendship easy to believe almost stealing the movie is character actress mina kolb who plays james pixilated mother with pluck and heartthere are also unexpected cameos from teen idol aaron carter and gina gershon dont ask but the setup is funny as well as sharply played bits by director paul mazursky as the snaky director of a candidcameratype show smear job tim kazurinsky as the unsuspecting victim of that show and dan castellaneta as the toughlove convenience store owner with his rueful bouts of insecurity and selfloathing garlins comic sensibilities resemble those of albert brooks and the casual dialogue at its best reminds me of modern romance and defending your life the one persistent problem i had with the film is pacing as some scenes dragged out longer than necessary the problem is more evident in the first half when garlin is trying to establish the right tempo and the lack of real conflict adds to the sluggishness regardless what he does well is capture that gnawing sense of desperation one feels upon the revelation that life is not what it is supposed to be that a significant other may be out of reach and that a steady diet of junk food eaten on a car hood is the only sure thing when it comes to gratification,1
slow incomprehensible boring three enthusiastic words that describe the movie of the book this is surely a case where the movie should never have been made at the expense of the book the best part of the movie was the scenery excellent the worst part was the slow moving interactions of the actors which combined with endless meaningful glances the editing is abrupt and patchy however despite this the actors worked very hard at least trying to be a little believable with a terrible script it was startling that although set in peru there was hardly a person of peruvian descent wandering about the set even in the flashback scenes depicting peru in the th century if you have any sense of history try to avoid this movie,0
haunted by a secret ben thomas will smith looks for redemption by radically transforming the lives of seven people he doesnt know once his plan is set nothing will be able to stop him at least thats what he thinks but ben hadnt planned on falling in love with one of these people and shes the one who will end up transforming him will smith is back again with director gabriele muccino after the life inspiring movie the pursuit of happiness seven pounds is yet another life changing movie experience which not only does reminds you of their previous collaboration tearful but inspires you joyfully in the end will smith also is the producer again with some of the others these movies are very realistic which depicts a common mans life his struggles through life seven pounds might have took some time to gain its actual momentum but just after half an hour of the movie the movie is all set to rule your heart also this movie has some twists revolving around which lets the viewers keep guessing director gabriele muccino once again is the winner all the way with his emotional yet inspiring message he makes all the characters of the movie very real that the people would actually find themselves in somewhere of the movie along with the director will smith is yet another winner with his superb acting skills once again the duo of the director the actor works as a charm also there are other talented actors in the movie who did their part pretty well rosario dawson beauty with brains thats what she can be called she looks beautiful does her part extremely well barry pepper gives a great support to the movie woody harrelson does the same although woody did not had much screen timingwould have been good if he had more you wont forget this movie easily watch this movie change your life top class cinema,1
this movie represents the times it was made in as much as the original i suppose which is really sad because at a deeper level the title vanishing point the original is so ironic im sure it wasnt intended that way but the original was filmed in and released in the real vanishing point was the end of an era which pretty much ended in the early s in this remake all the countercultural elements have been stripped away and been rendered more pc in an attempt to reach a broader audience presumably sanitized for your protection inserting the american indian scenes was gratuitous and the idea of a noble purpose to the trip was subtraction by addition im glad i watched it however it made me appreciate the original that much more the original is a cult classic and golden this remake is dreadful,0
i first saw ice age in the subiaco cinemas when it came out back in i was only at the time but even then i liked it it had some sort of warmthweve had it on video for a number of years now and no matter how many times you watch it it never gets boring this is because of the one element which makes it different from all of the other d animations made at the time the characters have no particular home which they leave they are nomads and thats really refreshing and uplifting to watchalso each individual character on the surface appear to be just putting up with each other but theyre really all good friends as well all of the characters have their own charms even the bad guys sid the sloth is charming in his annoying overaffectionate and naive sort of way manny is adorable in his depressed reclusive character and so on and so forthanother great point about the movie is the beauty of the animation all the environments and characters were modeled originally by clay giving the film an artistic edgeanother aspect that adds to the feel of the movie is that gender means very little there are hardly any female characters but you dont really realize that until after you watch it a few times and even then it has little effect on the way you view the film due to this theres also no mention of a nuclear family which would really be pathetic in a setting like the ice ageall in all ice age is a great movie and is proof on how much effort was put into d animations before shrek and the incredibles came out,1
kpax is exactly what a heart warming film should be the story is about a mysterious mental patient prot played by kevin spacey and his unbelieving psychiatrist dr powel played by jeff bridges the two have a very friendly bond and as their relationship grows dr powel cant help but wonder whether or not there is more to his mysterious patient who insists he is from another planet called kpax this film is very funny and kevin spacey pulls of well placed one liners as if it was his second nature kpax is a smart film and i wasnt expecting it to go where it did in the end i found myself thinking about the small things in life and the wonder and magic of the every day life we so often take for granted i left the theater with a warm fuzzy feeling inside and for families and couples on a date kpax is a splendid film that will not disappoint i highly recommend this film to anyone interested in something more than the monotonous releases of glossy action packed gore fests,1
as a longtime fan of all the star trek seriesi found this a disappointing episode and i wonder if the liberal use of flashbacks featuring will rikers exploits both positive and largely romantic and negative lots of pain and a crewmates deathwas a moneysaving device as were many of their bottle shows episodes in which all scenes take place on the enterprise diana muldaurwho also appeared at least twice on the original series deserved a better final appearance than this for her character dr kate pulaski loyal viewers in the star trek world is there any other kind also were shortchanged this was the last episode of second season thus the season ended not with a bang but with a whimper,0
i own a copy of this film and have always loved it i comment here however because i saw the pbs presentation of a concert version of sweeney todd earlier this week that production was put on by the san francisco opera and starred george hearn and patti lupone in the early s hearn replaced len cariou as sweeney cariou had won the tony for his performance i saw hearn and angela lansbury who also won the tony for her performance as mrs lovett perform sweeney on broadway they must have made the film at about the time i saw the show to this day the most moving moment i can ever remember in the theatre occurred when hearn sang these are my friends these are my friends see how they glisten my arm is complete again hearns performance in the san francisco opera production convinced me that he has lost nothing in the nearly twenty years since i first saw him perform the piece on broadway and later in the film what a talent he is sympathetic funny and scary all at once and he can sing boy can he sing all of this reminded me of how terrific the film is highly recommended ten out of ten,1
the acting is excellent in this film with some great actors it was fun to see fred mcmurray as a young man this is not a comedy its a drama and the apparently comedic instances are pitiful this is not a comedy its a drama and the apparently comedic instances are pitiful and some of them appear forced and contrived its in the script though not the fault of the actingthe line requirement forces me to write some morehmmm loved carole lombards my man godfrey because it is a comedy and while the acting is wonderful the story line and the script itself wins the day carole lombard is pretty and a wonderful actress i will try to watch fred mcmurrays features,0
according to the budget information given on this web site dark harvest had an estimated budget of where this money was spent im not exactly sure let me seecostumesnolocation and setshmmm think notspecial fxnotacting lessonsah no dark harvest tells the epic tale of a young man who inherits a family farm in the hills of west virginia his girlfriend talks him into taking their friends up there to check the place out once there our intrepid hero learns that his great grandfather used a unique method for getting his crops to grow and now its revenge time killer scarecrows out for revenge ewww scary well no not really we all know there have been some terrific movies made with very little money but this is not one of them this film contains pretty much some of the worst acting and dialog ive ever seen terrible clichs with terrible delivery all in all do not be fooled by the half way decent cover and avoid at all costs id like to give the film makers at least a d for trying but im afraid they didnt even do a good job with that grade f,0
i first saw this when it was picked as a suggestion from my tivo system i like danny elfman and thought it might be interesting on top of that im a fan of max fleischers work and this started out with the look and feel of his s cartoon with both of those i thought it would hold my interest i was wrong just a few minutes in and i had the fast forward button down i ran through it in about minutes and thought that was itafterwards i read some of the other reviews here and figured i didnt give it enough of a chance i recorded it again and watched it through theres minutes of my life im not getting backi cant believe there arent more bad reviews personally i think its because its hard to get to the line comment minimum how many ways are there to say this is a waste of timethe movie comes across as though it was made by a few junior high kids ready to outrage the world and thinking they can with breasts profanity and puke jokes the characters are flat the parody of swinging the alphabet is lame essentially cobbling the tune getting through a e hitting the obvious profanity a f and then having no idea where to go the trip through the intestines to the expected landing doesnt work the first time let alone the following ones across the board the entire movie is what you would expect from someone trying to outsouth park stone and parker without the ability to determine what is and isnt funny this might be amusing if youre high otherwise its not,0
this is the worst movie ive ever seen and i have seen lots of movies me and my friends rented this one a wendsday evening man we had lots of fun this movie is the worst most boring crap ive ever seen but it makes you laugh u will lay on the floor rolling around tryin to get some air you wonder why just rent it and check for the keyboard playing girl at that sleazy russian bar my mother would make a times better movie about her feedin the cats,0
the main problem of the first vampires movie is that none of the characters were sympathetic carpenter learned from his mistake and this time used a likable vampire hunter and a charismatic vampire the female vampire una certainly is the coolest vampire since blades deacon frost unfortunately while there are some good concepts like a cool slow motion restaurant scene why didnt carpenter use more of this this movie is nowhere near as good as it could have been i expected to see strong vampires in action and at least one longer lasting nicely choreographed fight sequence for example inside a city and was left somewhat disappointed while los muertos proceeds at a faster pace than its predecessor it still drags a little in some parts though nowhere near as bad as vampires did much like vampires however this movies climax near the end is not very intensemost of the above may sound like los muertos is a bad movie but it definitely isnt it is generally enjoyable and ranks among the better entries to the genre it is neither an unoriginal dracula remake like almost every other vampire movie out there nor is it an unintelligent action spectacle like blade ii it simply could have used a bit more excitementid really like to see a third installment made by carpenter but its probably not going to happenspoiler warning the ending was way too predictable una should have gotten away that would have made the movie quite unusual,1
this movie stinks majorly the only reason i gave it a was because the graphics were semi charming its total disregard for a plot and the lack of even insubstantial surface character development made it seem like just a bunch of nice drawings this is by far the worse anime that came out of japan i cant believe they actually put their names on this garbage what a rip off selling this thing for if you havent seen this dont bother if you have i pity you,0
bugsy siegel was when he went out to the west coast in addition to his dreams about las vegas he toyed with the idea of acting he was a good looking guy and about years younger than his pal george raft so it wasnt such a crazy ideawarren beatty was when he made this movie and despite the hair dye hes too old for this part beatty was miscast bugsy should have been played by someone like alec baldwin bugsy was a tough guy feared by his contemporaries beatty just doesnt radiate menacethis was a vanity project for beatty who hasnt come to terms with the fact that hes no longer a leading manthe other big annoying miscast is mantegna as george raft raft had a distinctive voice and mannerisms none of which mantegna even attempts to match you never once believe that mantegna came from the streetswarren beatty and robert redford have both been pretending to be younger for years by massive use of hair dye and now itll be a shock to suddenly go gray and play character parts,0
it is quite rare that a movie comes along that is so useless that i with imdb allowed the use of negative scores in fact i reflect back upon this movie and i truly cannot think of a movie that had so little going for it acting your kidding right direction no a plot no this movie has nothing going for it if you take it as a serious movie this is often the case with movies of this genre but most movies of this nature can be watch as if they are a comedy and you can laugh at how pathetic the characters and situations are and almost get your times worth this movie is so empty that it cannot even suit that purpose i have to give this a three points lower then any other movie i have ever rated i truly feel that the staff involved in this movie should pay me for the minutes i spent watching it i do not really have the words to describe how bad this is no one should ever watch this for any reason again,0
oh there are many worse wayne movies this movie is edited poorly but it has a campy element that makes watching it enjoyable the villain is an anglo actor who sports ridiculous mexican clothes and affects an overthetop mexican accent which is hilarious the girl is dressed like a jean harlow wannabe this is after all at least the location shots are beautiful and enjoyablewatch it and laugh dont expect a serious western but rather a lightweight and superficial story with poor acting but occasional flashes of camp humor wayne is almost ludicrously young and handsome and one can see his acting ability blossomed years after this regrettable venture,0
wow this film is the best living testament i think of what happened on in nyc compared to anything shown by the major media outletsthose outlets can only show you what happened on the outside this film shows you what happened on the inside it begins with a focus on a rookie new york fireman waiting for weeks for the first big fire that he will be called to fight the subject matter turns abruptly with the only existing footage of the first plane to hit the towers you are then given a frontrow seat as firefighters rush to the scene into the lobby of tower one in the minutes that precede the crash of the second plane and tower twos subsequent fall you see firemen reacting to the unsettling sound of people landing above the lobby it is a sight you will not soon forgetheartrending tearjerking and very compelling from the first minute to the last deserves to go down in history as one of the best documentary films ever madewe must never forget,1
the cinema of the s was as much as time of revolution as the politics and the music filmmakers were daring to make avantgarde films discussing taboo subjects only permitted before in exploitation films starting with both breathless and underground american cinema such as kenneth anger films became more and more experimental all of this accumulated when hollywood realized they had mass commercial appeal with easy rider one of the best and most surprising outputs of this era was also one of the least successful initially head was made when the monkees career was seriously waning which is what damned one of the best psychedelic films ever madethe plot well there really isnt one as many have said it involves the monkees going from one surreal scenario to the next one however these sequences are all obviously lsdtinged and basically mock how the monkees were sick of being confined to their light prefab reputation its a shame that the film found no audience the teeny boppers who loved them had moved onto a new fad as they always do the psychedelic haightashbury crowd to whom the film was garnered would never be caught dead at a monkees movie its all their loss this film may be plot less but it is certainly not without meaning and is very intelligently put together the crew later made both easy rider and five easy pieces the film was later revived at a raybert retrospective and it gained a very positive response which granted it the cult following it had deserved for a long time ironically the monkees would fall victim to the same commercialism they protested in this film with their later s reunion,1
with all this stuff going down at the moment with mj ive started listening to his music watching the odd documentary here and there watched the wiz and watched moonwalker again maybe i just want to get a certain insight into this guy who i thought was really cool in the eighties just to maybe make up my mind whether he is guilty or innocent moonwalker is part biography part feature film which i remember going to see at the cinema when it was originally released some of it has subtle messages about mjs feeling towards the press and also the obvious message of drugs are bad mkayvisually impressive but of course this is all about michael jackson so unless you remotely like mj in anyway then you are going to hate this and find it boring some may call mj an egotist for consenting to the making of this movie but mj and most of his fans would say that he made it for the fans which if true is really nice of himthe actual feature film bit when it finally starts is only on for minutes or so excluding the smooth criminal sequence and joe pesci is convincing as a psychopathic all powerful drug lord why he wants mj dead so bad is beyond me because mj overheard his plans nah joe pescis character ranted that he wanted people to know it is he who is supplying drugs etc so i dunno maybe he just hates mjs musiclots of cool things in this like mj turning into a car and a robot and the whole speed demon sequence also the director must have had the patience of a saint when it came to filming the kiddy bad sequence as usually directors hate working with one kid let alone a whole bunch of them performing a complex dance scenebottom line this movie is for people who like mj on one level or another which i think is most people if not then stay away it does try and give off a wholesome message and ironically mjs bestest buddy in this movie is a girl michael jackson is truly one of the most talented people ever to grace this planet but is he guilty well with all the attention ive gave this subjecthmmm well i dont know because people can be different behind closed doors i know this for a fact he is either an extremely nice but stupid guy or one of the most sickest liars i hope he is not the latter,1
im serious as well i mean dont get me wrong if you havent got a bent for this type of z grade creaky creature feature why would you be watching is my first thought then its a rating of about to out of tops but to me its a special kind of nonsense that takes me back to a nice time in my childhood you know the kind the memories that never leave you eagerly taking it all in with youthful wonderment as doug mcclure and peter cushing tunnel beneath the mantle to do battle with a host of creatures and subhuman species and guys now we are all grown up we can admire most seriously at the wonder of caroline munro and her heaving cleavage no wonder my older brother was keen to take me to the cinema to see this oneyes the effects are bad men in suits strings pinging parrot monsters around and exploding rubber frog like thingies amuse us greatly and yes cushing and a surprisingly pudgy mcclure act as if they have truly been mesmerised by the evil meyhas at the core of our film but it matters not zany and clunky and awash in glorious colour at the earths core is a throwback to a special preilm time when kids like me queued around the block to see such joyous nonsense,1
a trooper is on the side of the road making sure every is obeying the speed limit doing his job he then pulls over a woman who appears she is a mother there is a child in the back seat he then is telling her what is wrong and bamthey get killed okay this is the start of what i personally thought would have been a good movie when i was watching this movie in the theatre i was with some friends this was our first night out after the summer so we wanted to go and see a good movie we all decided to see a suspensethriller that looked good to everyone in the groupthis was one of the biggest mistakes of my life not only did i waste oo on a movie ticket but i had to sit through torture for the brain this movie started off with mystery and suspense and i seriously thought this cant be badi was so wrong the whole problem with this movie is that it makes no sense even if you can get passed the bad acting the not so scary storyline and the over all horrible mess this movie was you will still be puzzled its not because youre not smart enough to understand it its because no human with a brain could comprehend what this stupid movie is about right now you may be thinking oh man i have to watch this movie just to see if its as bad as this person says it is get that thought out of your head right now im trying to save you the trouble of watching this movie by telling you that it is so bad that there is no point in even considering seeing it please people dont make the same mistake i did thinking that this movie has potentialit doesnt i give this movie out of if i could give a zero i would and i do not recommend anyone to ever see this movie youll be saving yourself many sleepless nights trying to think wtf that freaking movie is about,0
gdon and jules naudet wanted to film a documentary about rookie new york city firefighters what they got was the only film footage inside the world trade center on september having worked with james hanlons ladder company before jules went with the captain to inspect and repair a gas leak while gdon stayed at the firehouse in case anything interesting happened an airplane flying low over the city distracted jules and he pointed the camera up seconds before the plane crashed into tower onejules asked the captain to follow him into the towers the first thing he saw was two people on fire something he refused to film he stayed on site for the next several hours filming reactions of the firefighters and others who were therethe brothers naudet took great care in not making the movie too violent grizzly and gory but the language from the firefighters is a little coarse and cbs showed a lot of balls airing it uncensored the brothers naudet mixed footage they filmed with oneonone interviews so the firefighters could explain their thoughts and emotions during particular moments of the crisis unlike a feature film of similar title most of the money from dvd sales go to related charities very well made emotional moving and completely devoid of political propaganda is the best documentary of the sort to date,1
and how it made it into production astounds me the main character is an obnoxious show off who isnt the least bit funny i cant stand the character at all hes a dumb ass with nothing to offer the show this is the worst cartoon to surface in the last years no joke the story lines are both poorly written and executed the jokes are as bad as the ones on disneys sweet life of zack and cody i could not dislike this show more its terrible and should be canceled even the theme song is bad the title even worseits as though this show is written by a couple of year olds that based the character on themselves and think theyre hot stuff when theyre really just arrogant and lack creativity as well as humorjohnny test go away far and fast,0
this movie is well made it is beautiful and wise it is heartwarming it is great and again it shows how great peter falk is he is fantastic and he even gets better the older he gets thank you peter falk thank you very much for this gem of a movie this movie entertains there is lot of wisdom in this movie there is lot of humor in this movie there is life in this movie and meaning this movie shows how life can bepeter falk is in that movie he is just great where is the oscar for peter falk he deserves it so very muchpeter falk just turned i do sincerely hope that there will be more movieswalter j langbein,1
though i cant claim to be a comic book fanatic i have read my share so i guess im part of the audience of this film and i wasnt disappointed it does run out of steam near the end its almost overflowing with ideas and it seems like lena olin one of my favorite actresses was left on the cutting room floor also a little of hank azarias blue raja can go a long way still its easy to forgive all of these faults when you have a film which is this much fun all the actors seem to be having a blast with their roles especially william h macy as the straightarrow shoveler and janeane garofalo as the bowler and unlike some i found the design of the city to make the joke even funnier i also liked how disco was the music of choice of the bad guys somehow it seemed appropriate,1
ive seen my fair share of badly thoughtout endings and final twists to films but i dont recall any film that committed outright suicide like this one didthe film makers were clearly hoping that the great twist would surprise us all and it did but perhaps not in the way the directors had hoped i was left feeling surprised that connery harris fishburn and capshaw had anything to do with this turkey individually or collectivelythe film up until the final thirty minutes was rather engaging and i like the way the story was unfolding and the nature of the film overall but once the twist was revealed the plot holes and inconsistencies were remarkable the underlying motive for revenge was illconceived and the ways things so neatly worked out for bobby earl was ridiculously farfetched whats worse is that once the twist was revealed the remainder of the film became excruciatingly predictableharris gave a terrific performance and connery is like morgan freeman in that he never gives a bad performance even if the movie aint that great so all in all it starts well and the unfolding keeps the viewer interested the last minutes is one of the most memorable nose dives in the history of cinema,0
this is without a doubt the funniest comedy of the year everybody is brilliant the acting is superb you can see that the actors enjoyed making this film its a shame to spoil the film with give aways so rent it and laugh your ass off,1
this hodgepodge adapted from a gore vidal novel actually one of the great american writers makes the magic christian and valley of the dolls look like fellini artworks raquel welch with an incredible body and shes actually not very tall in a lead role except for kansas city bomber when she was quite good playing rex reeds bad movie reviewer not critic alterego only to be surrounded by drag queen great chick mae west horny john huston a young and naive farrah fawcett prelee majors what a shame and other various creepazoids to pretend to spoof way too may things has nothing going for it except interspliced old films clips ie widmark in kiss of death lena hornejust so they can continue to bleed the life out of everyonea out of best performance its so bad its worth seeing,0
when i refer to malice as a film noir i am not likening it to such masterpieces as sunset boulevard double indemnity or the maltese falcon nor am i comparing director becker to alfred hitchcock stanley kubrick stanley kramer or luis bunuel i am merely registering a protest against the darkness that pervades this movie from start to finish to the extent that most of the time you simply cannot make out what is going on i can understand darkness in night scenes but this movie was dark even in broad daylight for what reason i am at loss to understand as it is however it wouldnt have made much difference if director becker had filmed it in total darkness,0
